Mien,Part of Speech,English,French,Thai,,Lao,,Vietnamese,Chinese,Mandarin,Cantonese,Note (English),Note (French),Note (Thai),Note (Lao),Note (Vietnamese),Note (Chinese),Example,Usage,Origin,Audio
orqv gueiv,noun,evil spirit,démon,ปีศาจ,,ປີສາດ,,quỷ,魔,mó,mo1,,,,,,,,,,
orqv gueiv,noun,fiend,démon,ปีศาจ,,ປີສາດ,,ác quỷ,恶魔,èmó,ngok6 mo1,,,,,,,,,,
orqv gueiv,noun,demon,démon,ปีศาจ,,ຜີຮ້າຍ,,ác quỷ,恶魔,èmó,ak3 mo1,,,,,,,,,,
orqv henz-douc,noun,unfortunate event,événement malheureux,เหตุการณ์ที่โชคร้าย,,ເຫດການທີ່ໂຊກຮ້າຍ,,sự kiện không may,不幸的事,bù xìng de shì,bat1 hang6 dik1 si6,,,,,,,,,,
orqv henz-douc,noun,calamity,calamité,ภัยพิบัติ,,ໄພພິບັດ,,thảm họa,灾难,zāinàn,zoi1 naan6,,,,,,,,,,
orqv henz-douc,noun,misfortune,malheur,เคราะห์ร้าย,,ເຄາະຮ້າຍ,,bất hạnh,灾祸,zāihuò,zoi1 wo6,,,,,,,,,,
orqv hnyouv,noun,wicked heart,cœur mauvais,ใจชั่ว,,ໃຈຊົ່ວ,,lòng dạ xấu,坏心肠,huài xīncháng,waai6 sam1 coeng4,,,,,,,,,,
orqv mbeix,noun,nightmare,cauchemar,ฝันร้าย,,ຝັນຮ້າຍ,,ác mộng,噩梦,èmèng,ngok6 mung6,,,,,,,,,,
orqv mengh,noun,infamous reputation,triste réputation,ชื่อเสียงฉาวโฉ่,,ຊື່ສຽງທີ່ຊົ່ວຮ້າຍ,,tiếng xấu,恶名,èmíng,ok3 ming4,,,,,,,,,,
orqv mienh,noun,malicious or evil person,personne malveillante,คนชั่วร้าย,,ຄົນຊົ່ວ,,kẻ ác,恶人,èrén,ngok6 jan4,,,,,,,,,,
orqv mienv,noun,evil spirit,fantôme,ผีร้าย,,ຜີຮ້าย,,ma,鬼,guǐ,gwai2,,,,,,,,,,
orqv mienv,noun,malicious spirit,esprit maléfique,วิญญาณร้าย,,ວິນຍານຮ້າຍ,,tà linh,恶灵,èlíng,ngok6 ling4,,,,,,,,,,
orqv mienv,noun,fiend,démon,ปีศาจ,,ປີສາດ,,ác quỷ,恶魔,èmó,ngok6 mo1,,,,,,,,,,
orqv mienv,noun,demon,démon,ปีศาจ,,ຜີຮ້າຍ,,ác quỷ,恶魔,èmó,ak3 mo1,,,,,,,,,,
orqv sic,noun,serious crime,grave (maladie),ร้ายแรง (โรค),,ຮ້າຍແຮງ (ໂຣກ),,nặng (bệnh),病重,bìngzhòng,bing6 zung6,,,,,,,,,,
orqv sic,noun,wickedness,méchanceté,ความชั่วร้าย,,ຄວາມຊົ່ວຮ້າຍ,,sự độc ác,邪恶,xié’è,ce4 ok3,,,,,,,,,,
orqv sic,noun,evil deed,mauvaise action,การกระทำที่ชั่วร้าย,,ການກະທຳທີ່ຊົ່ວຮ້າຍ,,việc ác,惡行,è xíng,ok3 hang6,,,,,,,,,,
orqv waac,noun,bad or abusive language,langage grossier,คำพูดหยาบคาย,,ຄຳຫຍາບ,,lời lẽ thô tục,辱骂,rǔmà,juk6 maa6,,,,,,,,,,
orqv wuonc-qiex,noun,bad luck,malchance,เคราะห์ร้าย,,ເຄາະຮ້າຍ,,vận rủi,厄运,èyùn,aak1 wan6,,,,,,,,,,
orqv wuonc-qiex,noun,misfortune,malheur,โชคร้าย,,ໂຊກຮ້າຍ,,xui xẻo,厄运,èyùn,ngok6 wan6,,,,,,,,,,
ortc,adjective,wide and thick (of the neck) as person with rolls of fat,cou large et épais,คอกว้างหนา,,ຄໍກວ້າງໜາ,,cổ to dày,脖子又粗又宽,bózi yòu cū yòu kuān,bok6 zi2 jau6 cou1 jau6 fun1,,,,,,,,,,
orv,noun,flesh,chair,เนื้อ,,ເນື້ອ,,thịt,肉,ròu,juk6,,,,,,,,,,
orv,noun,meat,chair,เนื้อ,,ເນື້ອ,,thịt,肉体,ròutǐ,juk6 tai2,,,,,,,,,,
orv,noun,muscle,muscle,กล้ามเนื้อ,,ກ້າມເນື້ອ,,cơ bắp,肌肉,jīròu,gei1 juk6,,,,,,,,,,
orv sui,verb,to feel fear with a prickling sensation,se sentir mal à l'aise,รู้สึกขนลุก,,ຮູ້ສຶກຂົນລຸກ,,cảm thấy rợn người,感到怪異,gǎn dào guài yì,gam2 dou3 gwaai3 ji6,,,,,,,,,,
orv yuqc,verb,to have one's flesh decay or rot,avoir la chair qui se décompose,เนื้อเน่า,,ເນື້ອເນົ່າ,,thối rữa thịt,腐爛,fǔ làn,fu6 laan6,,,,,,,,,,
orv-daic,noun,thick muscular areas of the body,zones musculaires épaisses,กล้ามเนื้อหนา (muscular),,ກ້າມຊີ້ນໜາ (muscular),,những vùng cơ bắp dày,身体肌肉肥厚的部位,shēntǐ jīròu féihòu de bùwèi,san1 tai2 gei1 juk6 fei4 hau5 dik1 bou6 wai6,,,,,,,,,,
orv-dongx,noun,thick meat broth,bouillon de viande épais,ซุปเนื้อเข้มข้น (broth),,ຊຸບຊີ້ນ (broth),,nước dùng thịt đặc,浓肉汤,nóng ròutāng,nung4 juk6 tong1,,,,,,,,,,
orv-faauv,noun,pork crackling,grattons de porc,แคบหมู,,ແຄບໝູ,,tóp mỡ,炸猪皮,zhà zhūpí,zaa3 zyu1 pei4,,,,,,,,,,
orv-henz,noun,game killed on day determined by the spirits,gibier rituel,สัตว์ล่าตามพิธี,,ສັດລ່າພິທີ,,thú săn theo lễ,祭猎,jì liè,zai3 lip6,,,,,,,,,,
orv-hlaangv,noun,white connective tissue separating layers of meat,tissu conjonctif,พังผืด,,ພັງຜືດ,,mô liên kết trắng,白色結締組織,bái sè jié dì zǔ zhī,baak6 sik1 git3 dai3 zou2 zik1,,,,,,,,,,
orv-jaec,noun,lean meat,viande maigre,เนื้อไม่ติดมัน,,ເນື້ອບໍ່ຕິດມັນ,,thịt nạc,瘦肉,shòuròu,sau3 juk6,,,,,,,,,,
orv-junc,noun,fatty meat,viande grasse,เนื้อติดมัน,,ເນື້ອຕິດມັນ,,thịt mỡ,肥肉,féi ròu,fei4 juk6,,,,,,,,,,
orv-laapc,noun,salted and dried meat of domestic pigs,viande salée,เนื้อเค็มแห้ง,,ຊີ້ນເຄັมແຫ້ງ,,thịt khô muối,腊肉,làròu,laap6 juk6,,,,,,,,,,
orv-lunx,noun,raw flesh (as sore that is beginning to heal),chair vive,เนื้อสด,,ຊີ້ນສົດ,,thịt tươi,嫩肉,nènròu,nyun6 juk6,,,,,,,,,,
orv-mbuo,noun,cut of meat,morceau de viande,ชิ้นเนื้อ,,ຊິ້ນເນື້ອ,,miếng thịt,肉块,ròu kuài,juk6 faai3,,,,,,,,,,
orv-mienv,noun,guardian spirit of the wild animals,esprit protecteur,เจ้าป่าเจ้าเขา,,ເຈົ້າປ່າເຈົ້າເຂົາ,,thần rừng,山林守护神,shān lín shǒu hù shén,saan1 lam4 sau2 wu6 san4,,,,,,,,,,
orv-mienx,noun,noodles mixed with meat,nouilles à la viande,บะหมี่คลุกเนื้อ,,ໝີ່ຊິ້ນ,,mì trộn thịt,肉拌面,ròu bàn miàn,juk6 bun6 min6,,,,,,,,,,
orv-sen,noun,"a dish made with minced meat mixed with salt, pepper, onions, herbs, and fragrant seeds",plat de viande hachée épicée,ลาบ,,ລາບ,,Nộm thịt,老挝肉末沙拉,Lǎowō ròumò shālā,lou1 juk6,,,,,,,,,,
orv-sui,noun,pickled meat,viande marinée,เนื้อดอง,,ຊີ້ນດອງ,,thịt muối,腌肉,yānròu,jim1 juk6,,,,,,,,,,
orv-ziqv,noun,roasted meat,viande rôtie,เนื้อย่าง,,ເນື້ອຢ່າງ,,thịt nướng,烤肉,kǎoròu,haau1 juk6,,,,,,,,,,
orx,particle,used to call for the listener's attention and agreement when the speaker has prohibited some action,utilisé pour l'urgence,ใช้เพื่อเน้นความเร่งด่วน,,ໃຊ້ເພື່ອເນັ້ນຄວາມດ່ວນ,,dùng để tăng sự thúc giục,用於加強口氣,yòng yú jiā qiáng kǒu qì,jung6 jyu1 gaa1 koeng4 hau2 hei3,,,,,,,,,,
ou,adjective,off-white,blanc cassé,ขาวนวล,,ຂາວນວນ,,trắng ngà,米白,mǐbái,mai5 baak6,,,,,,,,,,
ov,interjection,oh,oh,โอ้,,ໂອ້,,ồ,噢,ō,o1,,,,,,,,,,
ov,interjection,oh-oh,oh oh,โอ๊ะโอ,,ໂອະໂອ,,ôi ôi,糟糕,zāogāo,zou1 gou1,,,,,,,,,,
ov,interjection,oh no,oh non,แย่แล้ว,,ແຍ່ແລ້ວ,,ôi thôi,糟了,zāo le,zou1 liu2,,,,,,,,,,
ox,verb,to look unwell or unhappy,avoir mauvaise mine,ดูไม่สบาย,,ເບິ່ງບໍ່ສະບາຍ,,trông uể oải,氣色不好,qì sè bù hǎo,hei3 sik1 bat1 hou2,,,,,,,,,,
ox,verb,to reheat (food),réchauffer (nourriture),อุ่น (อาหาร),,ອຸ່ນ (ອາຫານ),,hâm nóng thức ăn,热(饭菜),rè (fàn cài),jit6 (faan6 coi3),,,,,,,,,,
ox,verb,to warm up (food),réchauffer (nourriture),อุ่น (อาหาร),,ອຸ່ນອາຫານ,,hâm nóng (thức ăn),热(饭菜),rè (fàn cài),jit6 (faan6 coi3),,,,,,,,,,
ox,interjection,uh-huh,oui-hum,อืม,,ອືມ,,ừ ừ,嗯,èn,ng4,,,,,,,,,,
ox,particle,"used as both general imperative and call for the hearer to attend, verbally or nonverbally",utilisé comme impératif,ใช้เป็นคำสั่งทั่วไป,,ໃຊ້ເປັນຄຳສັ່ງທົ່ວໄປ,,dùng làm câu mệnh lệnh,常用於祈使句,cháng yòng yú qí shǐ jù,soeng4 jung6 jyu1 kei4 si2 geoi3,,,,,,,,,,
ox,interjection,yes,oui,ใช่,,ແມ່ນ,,vâng,是,shì,si6,,,,,,,,,,
ox,adjective,right,droit,ถูกต้อง,,ຖືກຕ້ອງ,,đúng,正确,zhèngquè,zing3 kok3,,,,,,,,,,
ox jorm,verb,to reheat (leftover food),réchauffer (restes),อุ่นอาหารเหลือ,,ອຸ່ນອາຫານເຫຼືອ,,hâm lại thức ăn thừa,热剩菜,rè shèng cài,jit6 sing6 coi3,,,,,,,,,,
oz,particle,"used to indicate either that something is very good or exceptional, or that it is very wrong or abnormal",utilisé pour appeler quelqu'un,ใช้เรียกใครบางคน,,ໃຊ້ເອີ້ນໃຜບາງຄົນ,,dùng để gọi ai đó,用於打招呼,yòng yú dǎ zhāo hù,jung6 jyu1 daa2 ziu1 wu6,,,,,,,,,,
oz,particle,oh,oh,อ๋อ,,ອ້າ,,à,啊,a1,aa3,"Used to indicate that one has heard the speaker and will respond, carry out a request, or accept a correction.",Utilisé pour indiquer qu’on a entendu et qu’on répondra.,ใช้เพื่อบอกว่าได้ยินและจะตอบสนอง,ໃຊ້ເພື່ອຊີ້ວ່າໄດ້ຍິນແລະຈະຕອບສະໜອງ,dùng để cho biết đã nghe và sẽ phản hồi,表示已听到并将回应,"oz, zeiz aqv: Oh, that's correct.",,,
paaih,noun,playing card,terrain de jeux,สนามเด็กเล่น,,ສະໜາມເດັກ,,sân chơi,操场,cāochǎng,cou1 coeng2,,,,,,,,,Thai,
paaiv,verb,to assign,assigner,มอบหมาย,,ມອບໝາຍ,,phân công,分派,fēnpài,fan1 paai3,,,,,,,,,,
paaiv,verb,to divide impartially,partager équitablement,แบ่งอย่างยุติธรรม,,ແບ່ງຢ່າງຍຸດຕິธรรม,,chia công bằng,公平分配,gōngpíng fēnpèi,gung1 ping4 fan1 pui3,,,,,,,,,,
paaiv,verb,to appoint,nommer,แต่งตั้ง,,ແຕ່ງຕັ້ງ,,bổ nhiệm,任命,rènmìng,jam6 ming6,,,,,,,,,,
paaiv,verb,to commission,commander officiellement,มอบหมาย,,ມອບໝາຍ,,ủy nhiệm,委任,wěirèn,wai2 jam6,,,,,,,,,,
paaiv,verb,to order,commander,จัดระเบียบ,,ຈັດລະບຽບ,,sắp xếp,整理,zhěng lǐ,zing2 lei5,,,,,,,,,,
paaiv baeng,verb,to deploy troops,déployer des troupes,ส่งกำลังทหาร,,ສົ່ງກໍາລັງທະຫານ,,triển khai quân,部署军队,bùshǔ jūnduì,bou6 cyu5 gwan1 deoi6,,,,,,,,,,
paaiv bun,verb,to assign for distribution,assigner pour distribution,มอบเพื่อแจกจ่าย,,ມອບແຈກຈ່າຍ,,phân phát,分发,fēnfā,fan1 faat3,,,,,,,,,,
paaiv bun,verb,to allot,attribuer,จัดสรร,,ແບ່ງສັນ,,phân bổ,分配,fēnpèi,fan1 pui3,,,,,,,,,,
paaiv bun,verb,to apportion,répartir,แบ่งสรร,,ແບ່ງສັນ,,phân chia,分摊,fēntān,fan1 taan1,,,,,,,,,,
paaiv daaih,verb,to appoint,nommer,แต่งตั้ง,,ແຕ່ງຕັ້ງ,,bổ nhiệm,任命,rènmìng,jam6 ming6,,,,,,,,,,
paaiv daaih,verb,to commission,commander officiellement,มอบหมาย,,ມອບໝາຍ,,ủy nhiệm,委任,wěirèn,wai2 jam6,,,,,,,,,,
paaiv gong-zoh mingh,verb,to send out envoy,envoyer un émissaire,ส่งทูต,,ສົ່ງທູດ,,cử sứ giả,派使节,pài shǐjié,paai3 si2 zit3,,,,,,,,,,
paaiv jaa-dingh daan,noun,will or trust,testament ou fiducie,พินัยกรรมหรือทรัสต์,,ພິນັຍກຳຫຼືທຣັສຕ໌,,di chúc hoặc tín thác,遗嘱或信托,yízhǔ huò xìntuō,ji4 zuk1 waak6 seon3 tok3,,,,,,,,,,
paaiv sic,verb,to assign matter for decision or judgment in matter,renvoyer pour jugement,ส่งเรื่องพิจารณา,,ສົ່ງເລື່ອງພິຈາລະນາ,,trình xét xử,交付裁决,jiāofù cáijué,gaau1 fu6 coi4 kyut3,,,,,,,,,,
paaiv sic biauv,noun,courthouse,palais de justice,ศาลยุติธรรม,,ສານຍຸຕິທຳ,,tòa án,法院大楼,fǎyuàn dàlóu,faat3 jyun2 daai6 lau4,,,,,,,,,,
paaiv sic dorngh,noun,court,cour,ลาน,,ລານ,,sân,庭院,tíngyuàn,ting4 jyun2,,,,,,,,,,
paaiv waac,verb,to advise,conseiller,แนะนำ,,ແນະນໍາ,,khuyên,建议,jiànyì,gin3 ji5,,,,,,,,,,
paaiv waac,verb,to give instructions,donner des instructions,ให้คำสั่ง,,ໃຫ້ຄໍາສັ່ງ,,chỉ dẫn,下指示,xià zhǐshì,haa6 zi2 si6,,,,,,,,,,
paaiv waac,verb,to give advice,donner un conseil,ให้คำแนะนำ,,ໃຫ້ຄໍາແນະນໍາ,,khuyên,给建议,gěi jiànyì,kap1 gin3 ji5,,,,,,,,,,
paaiv-mbiuic,verb,to divide up equally,partager également,แบ่งเท่าๆกัน,,ແບ່ງເທົ່າກັນ,,chia đều,平均分,píngjūn fēn,ping4 gwan1 fan1,Literal: to divide the septum.,Littéral : diviser la cloison.,ตามตัวอักษร: แยกผนังกั้น,ຕາມຕົວອັກສອນ: ແບ່ງກຳແພງ,Nghĩa đen: chia vách ngăn,字面：分隔隔膜,,Idiom,,
paaiv-mengh,noun,explanation or clear instructions regarding responsibilities,explication,คำอธิบาย,,ຄຳອະທິບາຍ,,giải thích,说明,shuō míng,syut3 ming4,,,,,,,,,,
paaiv-poux,verb,to instruct,instruire,อบรม,,ອົບຮົມ,,đào tạo,培訓,péi xùn,pui4 fan3,,,,,,,,,,
paaiv-zuang,verb,to divide up equally in half (as pig),partager en deux parts égales,ผ่าครึ่งเท่ากัน,,ແບ່ງຄື່ງເທົ່າ,,chia đôi đều,对半分,duìbàn fēn,deoi3 bun3 fan1,Literal: to split down the middle.,Littéral : fendre au milieu.,ตามตัวอักษร: ผ่ากลาง,ຕາມຕົວອັກສອນ: ຜ່າກາງ,Nghĩa đen: chẻ đôi ở giữa,字面：从中间劈开,,Idiom,,
paaix,verb,to lance,percer,บ่ง,,ບົ່ງ,,chọc thủng,刺破,cì pò,ci3 po3,,,,,,,,,,
paaix,verb,to slice open,ouvrir en tranchant,ผ่าออก,,ຜ່າອອກ,,mổ phanh,切开,qiē kāi,cit3 hoi1,,,,,,,,,,
paaix,verb,to slit open,inciser,กรีดให้เปิด,,ກີດໃຫ້ເປີດ,,rạch mở,切开/割开,qiē kāi/gē kāi,cit3 hoi1/got3 hoi1,,,,,,,,,,
paaix,verb,to sterilize (humans),stériliser (humains),ทำหมัน (มนุษย์),,ທຳໝັນ,,triệt sản (người),绝育(人),jué yù (rén),zyut6 juk6 (jan4),,,,,,,,,,
paan,verb,to repeat,répéter,ทำซ้ำ,,ເຮັດຊ້ຳ,,lặp lại,重复,chóngfù,cung4 fuk6,,,,,,,,,,
paan,verb,to redo,refaire,ทำใหม่,,ທຳໃໝ່,,làm lại,重做,chóng zuò,cung4 zou6,,,,,,,,,,
paan,verb,to resolve,résoudre,แก้ไข,,ແກ້ໄຂ,,giải quyết,解决,jiějué,gaai2 kyut3,,,,,,,,,,
paan,classifier,paan,paane,แผ่น,,ແຜ່ນ,,tấm,片,piàn,pin3,"Classifier for wide, flat things.",Classificateur pour les objets larges et plats.,ลักษณนามสำหรับวัตถุที่กว้างและแบน,ລັກສະນະນາມສຳລັບວັດຖຸທີ່ກວ້າງ ແລະ ແປ,lượng từ cho các vật rộng và phẳng,宽大、扁平物品的量词,,,,
paan baamz,noun,ritual to appease spirits that have been offended due to placement of objects in the wrong location,rituel d'apaisement,พิธีปลอบประโลมวิญญาณ,,ພິທີປອບປະໂລມວິນຍານ,,lễ cúng an ủi linh hồn,安靈仪式,ānlíng yíshì,on1 ling4 ji4 sik6,,,,,,,,,,
paangh,noun,porch,porche,ชานเรือน,,ຊານເຮືອນ,,hiên nhà,走廊,zǒuláng,zau2 long4,,,,,,,,,,
paangh,noun,platform made of bamboo (used as place to sit or sleep),plateforme pourรางน้ำ,ชานวางรางน้ำ,,ຊານວາງຮາງນ້ຳ,,sàn nước,水台,seoi2 toi4,,,,,,,,,,,
paan-pei,verb,to repeat or redo action,refaire,ทำใหม่,,ເຮັດໃໝ່,,làm lại,重做,chóngzuò,cung4 zou3,,,,,,,,,,
paan-puoqv,verb,to repeat again and again,répéter sans cesse,ทำซ้ำแล้วซ้ำอีก,,ເຮັດຊ້ຳໆ,,lặp đi lặp lại,反复,fǎnfù,faan2 fuk6,,,,,,,,,,
paanv,verb,to catch across the front of the body,attraper devant le corps,คว้าหน้าตัว,,ຈັບຫນ້າຕົວ,,chụp phía trước,当胸抓,dāngxiong zhuā,dong1 hung1 zaa1,,,,,,,,,,
paanx,verb,to involve or entangle someone,impliquer quelqu'un,ลากเข้ามาเกี่ยวข้อง,,ລາກເຂົ້າມາກ່ຽວຂ້ອງ,,lôi kéo vào,捲入,juǎn rù,gyun2 jap6,,,,,,,,,,
paax,noun,special embroidered cloth used on the head or headdress,tissu brodé spécial utilisé sur le dos,ผ้าปักพิเศษสำหรับใช้คลุมหลัง,,ຜ້າປັກພິເສດທີ່ໃຊ້ຢູ່ດ້ານຫຼັງ,,vải thêu đặc biệt dùng trên lưng,背部專用刺繡布,bèibù zhuānyòng cìxiù bù,bui3 bou6 zyun1 jung6 ci3 sau3 bou3,,,,,,,,,,
paax-dorn,noun,"small, triangular head cloth with two long ties (thin straps)",foulard triangulaire,ผ้าโพกหัวสามเหลี่ยม,,ຜ້າຄຸມຫົວສາມແຈກ,,khăn đội đầu tam giác,三角头巾,sānjiǎo tóujīn,saam1 gok3 tau4 gan1,,,,,,,,,,
